metric,value
mIoU,78.56
mAcc,85.43
aAcc,96.27
time_per_iter_s,0.0077
approx_fps_batch1,129.87012987012986
peak_mem_mb,1189

class,IoU,Acc
road,98.2,98.99
sidewalk,85.36,93.07
building,92.82,96.9
wall,62.56,69.22
fence,57.97,65.01
pole,65.93,76.0
traffic light,72.73,83.97
traffic sign,80.77,87.49
vegetation,92.89,96.86
terrain,65.12,73.97
sky,95.19,98.25
person,82.36,91.68
rider,60.46,72.11
car,95.24,97.84
truck,82.16,86.51
bus,86.71,93.24
train,70.93,74.83
motorcycle,67.19,78.15
bicycle,78.05,89.01
