iter,loss,acc_seg,lr
50,2.4098,21.7527,1.9614e-06
100,2.4041,52.6289,3.9627e-06
150,1.9968,76.6755,5.964e-06
200,1.3607,67.3792,7.9654e-06
250,1.3178,36.7087,9.9667e-06
300,1.0771,79.4699,1.1968e-05
350,1.0759,70.1349,1.3969e-05
400,0.938,90.6501,1.5971e-05
450,0.9815,91.3428,1.7972e-05
500,0.6402,92.5684,1.9973e-05
550,0.6306,74.8339,2.1975e-05
600,0.513,87.4246,2.3976e-05
650,0.7727,60.0175,2.5977e-05
700,0.5835,85.0635,2.7979e-05
750,0.4835,94.3428,2.998e-05
800,0.4849,89.6747,3.1981e-05
850,0.586,81.8127,3.3983e-05
900,0.5149,65.7038,3.5984e-05
950,0.4756,90.7549,3.7985e-05
1000,0.8497,87.1531,3.9987e-05
1050,0.6254,84.6171,4.1988e-05
1100,0.4866,88.3802,4.3989e-05
1150,0.3144,91.9831,4.5991e-05
1200,0.4718,85.8155,4.7992e-05
1250,0.3466,88.7477,4.9993e-05
1300,0.6048,84.8894,5.1995e-05
1350,0.3834,89.8694,5.3996e-05
1400,0.2336,95.7367,5.5997e-05
1450,0.5062,88.2335,5.7999e-05
1500,0.2961,78.7136,6e-05
1550,0.3789,90.3525,5.9981e-05
1600,0.2446,89.9251,5.9963e-05
1650,0.3569,82.995,5.9944e-05
1700,0.3568,86.9475,5.9925e-05
1750,0.3514,91.4173,5.9906e-05
1800,0.2853,94.9128,5.9887e-05
1850,0.4354,93.916,5.9868e-05
1900,0.4555,97.7027,5.9849e-05
1950,0.3255,62.3415,5.983e-05
2000,0.3689,94.4333,5.9811e-05
2050,0.2374,95.147,5.9792e-05
2100,0.3409,90.2793,5.9773e-05
2150,0.1907,84.6304,5.9754e-05
2200,0.1996,74.4318,5.9735e-05
2250,0.4632,52.5914,5.9716e-05
2300,0.3819,97.3363,5.9698e-05
2350,0.6766,75.5711,5.9679e-05
2400,0.309,86.316,5.966e-05
2450,0.3634,84.4721,5.9641e-05
2500,0.3819,66.009,5.9622e-05
2550,0.3361,28.5194,5.9603e-05
2600,0.2545,86.3653,5.9584e-05
2650,0.321,91.9106,5.9565e-05
2700,0.2524,70.5199,5.9546e-05
2750,0.1878,98.3689,5.9527e-05
2800,0.2504,97.432,5.9508e-05
2850,0.3376,56.2574,5.9489e-05
2900,0.3067,90.3844,5.947e-05
2950,0.3105,94.3574,5.9451e-05
3000,0.4282,96.5061,5.9433e-05
3050,0.3766,96.0929,5.9414e-05
3100,0.2642,86.4948,5.9395e-05
3150,0.3499,61.0089,5.9376e-05
3200,0.5754,63.3867,5.9357e-05
3250,0.4331,93.7038,5.9338e-05
3300,0.3109,90.9004,5.9319e-05
3350,0.3037,74.4131,5.93e-05
3400,0.314,91.4226,5.9281e-05
3450,0.2196,95.5025,5.9262e-05
3500,0.3427,96.4743,5.9243e-05
3550,0.5576,89.7812,5.9224e-05
3600,0.3311,85.0418,5.9205e-05
3650,0.3159,97.8655,5.9186e-05
3700,0.2877,88.7301,5.9168e-05
3750,0.2509,90.5211,5.9149e-05
3800,0.1575,89.7741,5.913e-05
3850,0.2394,82.9884,5.9111e-05
3900,0.2034,94.0915,5.9092e-05
3950,0.1932,94.576,5.9073e-05
4000,0.2023,92.1028,5.9054e-05
4050,0.1943,95.2733,5.9035e-05
4100,0.1605,98.4747,5.9016e-05
4150,0.2975,95.568,5.8997e-05
4200,0.1812,98.5453,5.8978e-05
4250,0.2396,92.0146,5.8959e-05
4300,0.2673,91.6437,5.894e-05
4350,0.2101,95.2955,5.8922e-05
4400,0.234,91.9854,5.8903e-05
4450,0.1811,95.5187,5.8884e-05
4500,0.1701,95.3739,5.8865e-05
4550,0.1457,94.628,5.8846e-05
4600,0.4557,91.2204,5.8827e-05
4650,0.3041,95.2084,5.8808e-05
4700,0.2793,90.3315,5.8789e-05
4750,0.227,98.2188,5.877e-05
4800,0.1827,97.7202,5.8751e-05
4850,0.3483,87.0197,5.8732e-05
4900,0.3361,92.8828,5.8713e-05
4950,0.3566,91.1029,5.8694e-05
5000,0.2546,94.087,5.8675e-05
5050,0.2243,94.3795,5.8657e-05
5100,0.2681,79.4999,5.8638e-05
5150,0.2596,84.6572,5.8619e-05
5200,0.212,98.0385,5.86e-05
5250,0.1652,89.1096,5.8581e-05
5300,0.1714,90.2396,5.8562e-05
5350,0.2508,93.3346,5.8543e-05
5400,0.1443,96.4032,5.8524e-05
5450,0.2256,92.0411,5.8505e-05
5500,0.2423,94.2478,5.8486e-05
5550,0.3499,92.3203,5.8467e-05
5600,0.2634,94.3479,5.8448e-05
5650,0.1829,91.996,5.8429e-05
5700,0.1951,89.1971,5.841e-05
5750,0.2447,92.8763,5.8392e-05
5800,0.2452,95.5224,5.8373e-05
5850,0.5081,88.3771,5.8354e-05
5900,0.243,95.2063,5.8335e-05
5950,0.3153,92.604,5.8316e-05
6000,0.1656,92.3696,5.8297e-05
6050,0.1621,91.98,5.8278e-05
6100,0.2016,94.8791,5.8259e-05
6150,0.2424,88.824,5.824e-05
6200,0.1215,98.2233,5.8221e-05
6250,0.1538,88.9738,5.8202e-05
6300,0.2191,79.4336,5.8183e-05
6350,0.1534,92.8141,5.8164e-05
6400,0.2263,92.9173,5.8145e-05
6450,0.1714,97.3651,5.8127e-05
6500,0.1794,96.8728,5.8108e-05
6550,0.1497,95.6601,5.8089e-05
6600,0.2353,95.4487,5.807e-05
6650,0.303,96.8751,5.8051e-05
6700,0.3107,92.5824,5.8032e-05
